Employee_ID,Employee_Name,Grade,Skill,Service_Line,Location,Cost_Per_Hour,Billing_Rate,Available_Hours_Per_Month
E2001,Consultant 1,Consultant,Technology,Risk & Advisory,Bengaluru,36.5,99.13,168
E2002,Consultant 2,Senior Consultant,Operations,Operations Consulting,Pune,51.13,115.24,160
E2003,Consultant 3,Analyst,Risk,Risk & Advisory,Pune,25.95,71.1,160
E2004,Consultant 4,Analyst,Technology,Data & Analytics,Noida,29.05,70.73,176
E2005,Consultant 5,Senior Manager,Finance,Risk & Advisory,Mumbai,106.89,217.26,160
E2006,Consultant 6,Consultant,Data Analytics,Risk & Advisory,Pune,42.0,96.51,168
E2007,Consultant 7,Analyst,Operations,Technology Consulting,Pune,25.37,73.66,168
E2008,Consultant 8,Senior Manager,Operations,Technology Consulting,Pune,107.34,225.42,176
E2009,Consultant 9,Senior Manager,Operations,Technology Consulting,Pune,97.08,204.71,168
E2010,Consultant 10,Consultant,Risk,Risk & Advisory,Gurugram,39.18,90.86,168
E2011,Consultant 11,Manager,Technology,Strategy Consulting,Gurugram,69.07,162.98,168
E2012,Consultant 12,Analyst,Risk,Risk & Advisory,Mumbai,29.33,67.62,160
E2013,Consultant 13,Analyst,Cloud,Strategy Consulting,Bengaluru,26.22,71.29,160
E2014,Consultant 14,Senior Consultant,Cloud,Strategy Consulting,Pune,55.7,133.24,168
E2015,Consultant 15,Manager,Technology,Technology Consulting,Noida,80.11,155.47,176
E2016,Consultant 16,Manager,Finance,Operations Consulting,Bengaluru,68.84,154.46,160
E2017,Consultant 17,Consultant,Risk,Data & Analytics,Noida,40.28,91.29,176
E2018,Consultant 18,Manager,Data Analytics,Technology Consulting,Bengaluru,71.0,170.97,168
E2019,Consultant 19,Manager,Operations,Technology Consulting,Mumbai,72.64,167.45,168
E2020,Consultant 20,Manager,Operations,Operations Consulting,Pune,74.61,154.5,160
E2021,Consultant 21,Senior Consultant,Technology,Data & Analytics,Pune,53.41,133.38,168
E2022,Consultant 22,Senior Consultant,Finance,Risk & Advisory,Hyderabad,56.64,130.8,160
E2023,Consultant 23,Senior Consultant,Cloud,Risk & Advisory,Noida,54.78,115.46,168
E2024,Consultant 24,Consultant,Cloud,Technology Consulting,Bengaluru,40.67,97.3,168
E2025,Consultant 25,Senior Manager,Operations,Data & Analytics,Bengaluru,104.74,219.11,160
