Expense_ID,Project_ID,Expense_Date,Expense_Type,Amount
X600001,P3105,2026-11-28,Travel,48.47
X600002,P3101,2025-09-29,Travel,57.14
X600003,P3097,2026-06-14,Software,10.5
X600004,P3057,2026-04-11,Travel,35.76
X600005,P3092,2026-08-12,Training,23.16
X600006,P3097,2026-11-27,Client Event,55.19
X600007,P3066,2025-06-08,Accommodation,73.9
X600008,P3109,2025-08-29,Training,60.41
X600009,P3083,2026-08-01,Travel,144.52
X600010,P3051,2026-03-24,Other,165.01
X600011,P3116,2025-06-12,Accommodation,253.76
X600012,P3056,2026-10-26,Client Event,37.95
X600013,P3043,2025-07-04,Accommodation,12.61
X600014,P3087,2025-07-19,Accommodation,40.76
X600015,P3004,2025-06-03,Other,185.0
X600016,P3034,2026-05-07,Accommodation,27.39
X600017,P3025,2026-03-08,Accommodation,43.23
X600018,P3116,2026-07-23,Travel,147.51
X600019,P3068,2025-11-05,Accommodation,71.56
X600020,P3037,2026-03-25,Other,77.72
X600021,P3112,2025-11-25,Training,28.34
X600022,P3063,2026-01-25,Software,55.62
X600023,P3008,2025-10-15,Training,28.1
X600024,P3095,2025-06-21,Other,88.02
X600025,P3046,2025-10-07,Accommodation,38.14
X600026,P3018,2026-07-18,Other,102.17
X600027,P3073,2025-02-19,Other,87.89
X600028,P3067,2025-07-06,Accommodation,15.48
X600029,P3085,2025-04-26,Software,85.6
X600030,P3061,2026-12-25,Travel,74.71
X600031,P3049,2025-09-27,Training,118.33
X600032,P3094,2025-01-23,Software,114.48
X600033,P3118,2026-07-20,Other,28.78
X600034,P3101,2026-11-30,Software,49.34
X600035,P3087,2026-09-12,Client Event,50.74
X600036,P3105,2025-03-10,Travel,27.8
X600037,P3012,2026-02-22,Accommodation,67.48
X600038,P3055,2026-05-28,Travel,14.44
X600039,P3082,2026-04-24,Other,73.21
X600040,P3027,2025-03-25,Software,19.19
X600041,P3056,2026-12-03,Accommodation,22.45
X600042,P3120,2025-06-22,Other,6.69
X600043,P3063,2025-08-25,Software,50.94
X600044,P3094,2025-11-19,Accommodation,19.45
X600045,P3012,2025-02-02,Accommodation,76.7
X600046,P3009,2026-10-25,Accommodation,26.03
X600047,P3025,2026-07-06,Other,22.41
X600048,P3021,2025-07-02,Accommodation,208.15
X600049,P3103,2025-06-19,Travel,145.5
X600050,P3050,2026-01-03,Client Event,21.05
X600051,P3008,2025-01-12,Other,28.12
X600052,P3007,2026-06-17,Other,28.73
X600053,P3020,2026-02-18,Travel,116.84
X600054,P3041,2026-09-09,Client Event,58.14
X600055,P3046,2026-06-08,Travel,42.4
X600056,P3018,2026-04-25,Travel,65.34
X600057,P3084,2025-10-04,Travel,28.07
X600058,P3025,2025-04-03,Travel,113.08
X600059,P3081,2026-09-30,Software,42.73
X600060,P3117,2026-06-25,Software,25.57
X600061,P3058,2026-08-04,Software,29.28
X600062,P3114,2026-02-04,Travel,31.48
X600063,P3086,2026-08-03,Travel,37.94
X600064,P3075,2026-12-11,Travel,36.51
X600065,P3048,2025-06-24,Software,100.43
X600066,P3053,2026-11-30,Client Event,100.63
X600067,P3020,2025-07-18,Travel,65.54
X600068,P3022,2026-02-09,Client Event,54.51
X600069,P3097,2026-11-01,Training,57.41
X600070,P3017,2026-11-10,Other,27.72
X600071,P3070,2025-09-04,Software,51.82
X600072,P3029,2026-06-08,Training,163.69
X600073,P3091,2026-09-02,Travel,315.99
