Invoice_ID,Project_ID,Invoice_Date,Billing_Rate,Billed_Hours,Billed_Amount,Discount,Invoice_Status
I500001,P3043,2025-11-01,106.3,292,31039.6,0.0,Paid
I500002,P3040,2025-03-21,104.86,263,26750.83,0.03,Paid
I500003,P3112,2026-09-05,84.9,76,6452.4,0.0,Paid
I500004,P3074,2025-09-22,144.14,286,39987.32,0.03,Paid
I500005,P3095,2026-06-01,161.8,496,72227.52,0.1,Disputed
I500006,P3096,2025-07-11,75.22,457,30937.99,0.1,Paid
I500007,P3082,2026-08-13,141.34,190,26854.6,0.0,Paid
I500008,P3061,2026-09-16,150.15,207,31081.05,0.0,Disputed
I500009,P3103,2025-09-19,131.96,122,15294.16,0.05,Paid
I500010,P3059,2026-08-28,101.87,293,28952.47,0.03,Paid
I500011,P3034,2025-03-11,93.77,174,13868.58,0.15,Paid
I500012,P3016,2025-08-08,75.48,131,9887.88,0.0,Paid
I500013,P3013,2025-11-11,89.95,80,6980.12,0.03,Paid
I500014,P3054,2025-08-30,177.27,498,88280.46,0.0,Paid
I500015,P3112,2025-04-17,134.89,180,23551.79,0.03,Paid
I500016,P3120,2025-04-08,87.82,42,3319.6,0.1,Disputed
I500017,P3099,2025-06-03,143.5,232,32293.24,0.03,Paid
I500018,P3095,2025-09-13,149.02,144,20385.94,0.05,Paid
I500019,P3051,2025-01-22,113.06,420,46060.64,0.03,Paid
I500020,P3045,2025-03-05,129.2,313,40439.6,0.0,Paid
I500021,P3024,2026-04-08,111.91,173,16456.37,0.15,Pending
I500022,P3053,2026-09-17,98.62,165,15784.13,0.03,Paid
I500023,P3092,2026-06-10,112.27,275,29948.02,0.03,Pending
I500024,P3120,2026-08-06,165.68,288,47715.84,0.0,Paid
I500025,P3109,2025-02-23,129.94,245,31835.3,0.0,Paid
I500026,P3074,2026-09-09,108.09,80,8647.2,0.0,Pending
I500027,P3028,2025-11-19,135.38,270,36552.6,0.0,Pending
I500028,P3057,2026-03-14,95.74,216,19645.85,0.05,Paid
I500029,P3038,2026-12-19,103.24,450,44135.1,0.05,Disputed
I500030,P3066,2025-08-03,94.54,431,40746.74,0.0,Paid
I500031,P3019,2025-02-05,167.49,454,76040.46,0.0,Paid
I500032,P3057,2025-02-22,152.51,234,34616.72,0.03,Paid
I500033,P3049,2025-10-01,158.23,62,9319.75,0.05,Paid
I500034,P3091,2025-05-10,94.78,64,6065.92,0.0,Paid
I500035,P3100,2025-05-25,81.12,284,23038.08,0.0,Paid
I500036,P3064,2025-11-23,176.09,69,12150.21,0.0,Overdue
I500037,P3043,2026-08-21,120.99,153,18511.47,0.0,Paid
I500038,P3004,2025-02-09,77.08,128,8879.62,0.1,Paid
I500039,P3064,2026-09-21,178.98,458,79513.65,0.03,Paid
I500040,P3094,2025-11-15,146.41,161,23572.01,0.0,Pending
I500041,P3043,2026-04-15,80.98,361,26310.4,0.1,Pending
I500042,P3072,2025-12-31,147.14,368,46025.39,0.15,Paid
I500043,P3093,2025-07-28,99.7,385,38384.5,0.0,Paid
I500044,P3047,2025-03-05,138.85,47,6199.65,0.05,Paid
I500045,P3070,2026-10-23,162.9,315,46182.15,0.1,Paid
I500046,P3040,2026-02-07,142.07,106,15059.42,0.0,Paid
I500047,P3076,2026-11-02,83.28,224,18654.72,0.0,Paid
I500048,P3035,2025-03-11,98.01,376,35009.17,0.05,Paid
I500049,P3103,2025-05-13,161.79,367,59376.93,0.0,Paid
I500050,P3111,2026-05-24,129.49,269,33787.83,0.03,Overdue
I500051,P3044,2025-07-04,78.31,221,17306.51,0.0,Pending
I500052,P3064,2026-11-18,158.6,273,41998.87,0.03,Overdue
I500053,P3106,2025-05-24,74.08,430,30898.77,0.03,Pending
I500054,P3080,2026-01-07,134.4,297,39916.8,0.0,Paid
I500055,P3030,2026-06-24,154.89,122,17006.92,0.1,Overdue
I500056,P3081,2026-02-02,140.86,282,39722.52,0.0,Overdue
I500057,P3015,2025-07-20,177.93,368,58930.42,0.1,Overdue
I500058,P3086,2025-07-11,132.03,190,25085.7,0.0,Paid
I500059,P3045,2025-12-13,124.86,184,22974.24,0.0,Paid
I500060,P3105,2026-03-25,100.57,487,48977.59,0.0,Paid
I500061,P3056,2026-06-14,133.45,319,42570.55,0.0,Overdue
I500062,P3016,2026-06-09,178.56,378,57371.33,0.15,Pending
I500063,P3104,2026-10-26,119.03,223,26543.69,0.0,Overdue
I500064,P3046,2025-02-28,112.31,431,48405.61,0.0,Paid
I500065,P3035,2026-02-06,144.23,152,21922.96,0.0,Pending
I500066,P3002,2025-10-12,101.47,23,2333.81,0.0,Overdue
I500067,P3104,2026-05-28,75.66,221,16219.23,0.03,Paid
I500068,P3015,2026-05-11,149.86,213,30962.57,0.03,Overdue
I500069,P3075,2025-11-21,172.75,392,64332.1,0.05,Paid
I500070,P3013,2025-12-27,118.59,288,34153.92,0.0,Paid
I500071,P3013,2026-11-20,113.14,224,25343.36,0.0,Paid
I500072,P3018,2025-07-16,83.15,22,1774.42,0.03,Paid
I500073,P3019,2026-01-28,87.52,372,27673.82,0.15,Pending
I500074,P3059,2026-04-29,152.64,455,59033.52,0.15,Paid
I500075,P3029,2026-08-13,178.56,307,54817.92,0.0,Pending
I500076,P3052,2026-12-18,83.91,88,7014.88,0.05,Disputed
I500077,P3064,2025-06-08,177.56,444,78836.64,0.0,Disputed
I500078,P3097,2026-07-05,155.26,42,6520.92,0.0,Paid
I500079,P3062,2025-02-27,166.0,92,12981.2,0.15,Paid
I500080,P3040,2025-02-26,162.73,20,3091.87,0.05,Paid
I500081,P3053,2026-04-15,140.62,193,23068.71,0.15,Pending
I500082,P3034,2025-01-21,152.53,180,27455.4,0.0,Paid
I500083,P3044,2025-06-05,178.37,141,25150.17,0.0,Paid
I500084,P3027,2025-04-15,123.04,362,44540.48,0.0,Paid
I500085,P3077,2025-02-25,158.5,175,26905.38,0.03,Paid
I500086,P3116,2026-01-03,128.85,372,47932.2,0.0,Paid
I500087,P3038,2026-03-15,140.66,497,66412.62,0.05,Paid
I500088,P3102,2025-10-23,152.55,261,39815.55,0.0,Paid
I500089,P3073,2025-08-22,91.63,324,29688.12,0.0,Paid
I500090,P3108,2025-03-01,142.93,186,25787.43,0.03,Pending
I500091,P3009,2025-05-28,73.62,73,4836.83,0.1,Paid
I500092,P3085,2025-01-16,105.09,151,15075.16,0.05,Pending
I500093,P3102,2025-07-13,88.68,304,24262.85,0.1,Pending
I500094,P3038,2026-10-05,131.79,167,19808.04,0.1,Pending
I500095,P3039,2026-08-25,124.66,364,45376.24,0.0,Pending
I500096,P3077,2026-11-10,77.94,66,4886.84,0.05,Pending
I500097,P3110,2025-02-23,72.47,384,27828.48,0.0,Paid
I500098,P3003,2026-04-28,80.73,21,1525.8,0.1,Paid
I500099,P3012,2026-08-15,128.76,285,31192.11,0.15,Overdue
I500100,P3069,2026-11-05,72.74,215,15639.1,0.0,Paid
I500101,P3120,2025-09-13,110.68,387,36408.19,0.15,Pending
I500102,P3008,2026-12-10,146.27,316,46221.32,0.0,Overdue
I500103,P3004,2025-11-27,79.74,258,20572.92,0.0,Paid
I500104,P3028,2026-11-07,96.61,401,34866.55,0.1,Paid
I500105,P3114,2025-03-31,138.96,65,9032.4,0.0,Paid
I500106,P3097,2026-08-12,159.99,110,17598.9,0.0,Paid
I500107,P3086,2026-08-15,134.41,265,35618.65,0.0,Paid
I500108,P3062,2025-11-11,127.29,336,36354.02,0.15,Paid
I500109,P3075,2026-01-27,83.73,73,6112.29,0.0,Paid
I500110,P3084,2026-06-21,137.56,435,50862.81,0.15,Disputed
I500111,P3096,2025-05-11,92.04,241,22181.64,0.0,Pending
I500112,P3035,2025-07-07,93.98,296,27818.08,0.0,Pending
I500113,P3079,2025-11-27,168.35,60,8585.85,0.15,Pending
I500114,P3060,2025-09-14,95.85,450,43132.5,0.0,Paid
I500115,P3101,2025-03-14,115.48,179,20670.92,0.0,Disputed
I500116,P3060,2025-01-30,111.27,142,13430.29,0.15,Paid
I500117,P3010,2025-05-31,113.07,235,26571.45,0.0,Paid
I500118,P3002,2025-11-28,167.49,237,33740.86,0.15,Paid
I500119,P3007,2025-06-29,177.1,387,61683.93,0.1,Paid
I500120,P3033,2026-03-02,102.07,158,13708.0,0.15,Paid
I500121,P3103,2025-11-09,161.02,451,61727.02,0.15,Pending
I500122,P3104,2025-07-26,78.11,313,23714.98,0.03,Paid
I500123,P3055,2025-07-25,171.63,346,56414.78,0.05,Disputed
I500124,P3040,2026-08-16,166.76,148,24680.48,0.0,Overdue
I500125,P3058,2026-07-12,105.12,312,29517.7,0.1,Paid
I500126,P3021,2026-11-16,178.26,320,57043.2,0.0,Paid
I500127,P3021,2025-03-17,166.04,378,62763.12,0.0,Pending
I500128,P3065,2026-03-05,130.51,434,56641.34,0.0,Paid
I500129,P3056,2026-01-22,128.69,36,3937.91,0.15,Paid
I500130,P3044,2025-07-20,81.29,206,16745.74,0.0,Paid
I500131,P3068,2025-02-27,73.01,190,13455.74,0.03,Paid
I500132,P3076,2025-03-20,153.37,465,71317.05,0.0,Overdue
I500133,P3065,2026-10-06,101.78,343,33863.22,0.03,Paid
I500134,P3031,2026-04-03,172.66,452,78042.32,0.0,Paid
I500135,P3068,2025-06-04,175.17,200,29778.9,0.15,Paid
I500136,P3048,2026-05-04,168.41,158,26608.78,0.0,Paid
I500137,P3015,2026-02-26,78.62,300,22406.7,0.05,Paid
I500138,P3013,2025-02-27,178.33,201,35844.33,0.0,Paid
I500139,P3093,2026-03-22,93.12,191,17785.92,0.0,Disputed
I500140,P3087,2025-10-17,164.51,249,34818.54,0.15,Disputed
I500141,P3035,2026-09-23,175.12,489,83064.67,0.03,Paid
I500142,P3120,2025-07-20,139.13,73,10156.49,0.0,Overdue
I500143,P3108,2026-02-18,101.33,81,8207.73,0.0,Overdue
I500144,P3025,2025-08-15,161.41,158,24227.64,0.05,Paid
I500145,P3023,2026-11-13,121.8,67,7344.54,0.1,Paid
I500146,P3052,2025-02-28,91.3,290,22505.45,0.15,Paid
I500147,P3027,2026-10-07,97.77,442,43214.34,0.0,Paid
I500148,P3049,2025-09-03,91.46,135,11112.39,0.1,Paid
I500149,P3109,2025-06-02,163.84,109,16965.63,0.05,Paid
I500150,P3002,2025-09-26,152.18,156,23740.08,0.0,Paid
I500151,P3084,2026-10-25,110.79,77,7251.21,0.15,Overdue
I500152,P3065,2026-04-08,89.96,28,2518.88,0.0,Paid
I500153,P3025,2025-02-26,118.12,416,47663.78,0.03,Paid
I500154,P3110,2025-02-18,102.84,460,40210.44,0.15,Pending
I500155,P3070,2026-12-09,92.27,406,31842.38,0.15,Paid
I500156,P3104,2025-05-15,170.85,235,34127.29,0.15,Paid
I500157,P3081,2025-11-02,83.13,438,30949.3,0.15,Paid
I500158,P3098,2025-06-30,152.3,161,24520.3,0.0,Paid
I500159,P3091,2026-08-14,154.84,424,55804.34,0.15,Paid
I500160,P3041,2026-03-06,148.03,171,25313.13,0.0,Overdue
I500161,P3093,2025-07-22,139.32,182,21552.8,0.15,Paid
I500162,P3014,2026-04-26,140.82,30,3590.91,0.15,Overdue
I500163,P3063,2026-07-15,140.56,42,5313.17,0.1,Paid
I500164,P3115,2026-07-08,168.97,479,80936.63,0.0,Paid
I500165,P3091,2025-02-03,103.16,473,47330.84,0.03,Paid
I500166,P3071,2025-03-16,161.79,423,58171.59,0.15,Pending
I500167,P3038,2025-04-09,87.29,209,17331.43,0.05,Paid
I500168,P3080,2025-08-14,77.63,121,9393.23,0.0,Paid
I500169,P3111,2026-05-01,117.32,102,11966.64,0.0,Paid
I500170,P3038,2026-08-20,88.04,197,14742.3,0.15,Paid
I500171,P3082,2026-02-28,101.88,430,39427.56,0.1,Paid
I500172,P3006,2026-02-07,142.55,49,6984.95,0.0,Pending
I500173,P3011,2026-02-19,178.63,175,29697.24,0.05,Paid
I500174,P3094,2026-01-11,125.3,397,44769.69,0.1,Overdue
I500175,P3024,2025-12-21,168.98,181,27526.84,0.1,Paid
I500176,P3019,2025-03-15,116.18,186,21609.48,0.0,Paid
I500177,P3097,2025-09-10,113.8,193,21963.4,0.0,Pending
I500178,P3091,2026-06-15,167.41,35,5273.42,0.1,Paid
I500179,P3003,2025-06-16,103.92,177,15634.76,0.15,Paid
I500180,P3118,2025-11-16,118.59,44,5217.96,0.0,Pending
I500181,P3120,2025-02-08,74.03,73,5404.19,0.0,Overdue
I500182,P3060,2026-03-19,173.94,165,28700.1,0.0,Paid
I500183,P3079,2026-01-29,111.11,175,16527.61,0.15,Paid
I500184,P3037,2026-02-22,129.25,92,11891.0,0.0,Disputed
I500185,P3088,2025-07-30,135.3,294,38584.85,0.03,Paid
I500186,P3041,2025-01-24,129.43,159,19961.99,0.03,Pending
