Project_ID,Client_ID,Project_Name,Service_Line,Start_Date,End_Date,Project_Status,Budget_Hours,Budget_Cost,Contract_Value
P3001,C1017,Advisory Project 1,Technology Consulting,2025-12-01,2026-03-01,Active,2759,194336.33,340833.07
P3002,C1044,Advisory Project 2,Strategy Consulting,2026-06-03,2026-11-30,Completed,844,31065.97,87544.86
P3003,C1020,Advisory Project 3,Risk & Advisory,2025-05-17,2025-07-16,Completed,435,21818.04,58725.68
P3004,C1036,Advisory Project 4,Data & Analytics,2026-05-13,2027-01-08,Active,1875,90291.8,293799.47
P3005,C1009,Advisory Project 5,Strategy Consulting,2026-04-22,2026-08-20,Completed,4357,230950.72,608576.78
P3006,C1038,Advisory Project 6,Strategy Consulting,2025-08-11,2025-12-09,Completed,2198,86561.94,308424.64
P3007,C1048,Advisory Project 7,Operations Consulting,2026-01-07,2026-05-07,Active,2245,183748.52,248248.36
P3008,C1022,Advisory Project 8,Technology Consulting,2026-02-06,2026-08-05,Active,1808,113343.72,244242.92
P3009,C1002,Advisory Project 9,Strategy Consulting,2026-03-19,2026-06-17,At Risk,2108,105982.26,220853.89
P3010,C1024,Advisory Project 10,Strategy Consulting,2026-05-05,2026-11-01,Completed,3338,183086.22,322904.09
P3011,C1008,Advisory Project 11,Risk & Advisory,2025-09-30,2026-01-28,Active,1700,97512.22,258713.55
P3012,C1011,Advisory Project 12,Risk & Advisory,2026-06-10,2026-09-08,Completed,1643,106843.82,141097.7
P3013,C1013,Advisory Project 13,Data & Analytics,2025-06-08,2026-02-03,Active,4376,265990.66,564495.8
P3014,C1017,Advisory Project 14,Operations Consulting,2025-06-01,2025-11-28,Completed,3497,283150.69,428167.6
P3015,C1008,Advisory Project 15,Data & Analytics,2025-07-07,2025-11-04,Active,409,24477.9,46316.66
P3016,C1021,Advisory Project 16,Risk & Advisory,2025-04-08,2025-12-04,Active,2825,239017.32,387191.02
P3017,C1018,Advisory Project 17,Technology Consulting,2025-05-11,2026-01-06,Active,2060,159796.77,279364.42
P3018,C1030,Advisory Project 18,Risk & Advisory,2025-06-20,2025-12-17,At Risk,3031,137684.77,430239.07
P3019,C1018,Advisory Project 19,Operations Consulting,2025-07-02,2025-12-29,Completed,1472,120011.81,179568.88
P3020,C1046,Advisory Project 20,Risk & Advisory,2025-12-30,2026-06-28,Active,3625,147966.41,301306.55
P3021,C1047,Advisory Project 21,Operations Consulting,2025-02-08,2025-08-07,Active,1716,130197.18,187023.75
P3022,C1031,Advisory Project 22,Operations Consulting,2026-06-11,2026-10-09,Completed,4545,245571.64,401668.22
P3023,C1038,Advisory Project 23,Operations Consulting,2026-05-12,2026-11-08,Active,4083,322143.46,601444.68
P3024,C1032,Advisory Project 24,Operations Consulting,2026-05-31,2026-07-30,Active,3673,287973.61,488978.02
P3025,C1011,Advisory Project 25,Operations Consulting,2025-12-15,2026-08-12,At Risk,545,41036.47,68999.67
P3026,C1045,Advisory Project 26,Technology Consulting,2026-02-01,2026-09-29,Active,3440,256285.24,288701.2
P3027,C1025,Advisory Project 27,Data & Analytics,2025-06-10,2025-07-10,Completed,1862,93535.63,172895.58
P3028,C1033,Advisory Project 28,Strategy Consulting,2025-01-16,2025-07-15,At Risk,1984,77467.19,289587.29
P3029,C1038,Advisory Project 29,Data & Analytics,2026-05-08,2026-07-07,Active,882,48641.43,78630.57
P3030,C1041,Advisory Project 30,Operations Consulting,2026-03-02,2026-05-31,Active,3579,156317.21,303527.54
P3031,C1008,Advisory Project 31,Technology Consulting,2025-04-18,2025-10-15,Active,1649,115013.72,133738.36
P3032,C1011,Advisory Project 32,Risk & Advisory,2026-03-26,2026-05-25,On Hold,1030,53874.14,162550.22
P3033,C1022,Advisory Project 33,Technology Consulting,2025-11-07,2026-05-06,On Hold,1061,88891.12,125801.63
P3034,C1024,Advisory Project 34,Operations Consulting,2025-06-19,2025-12-16,Completed,3903,261690.7,431191.2
P3035,C1041,Advisory Project 35,Technology Consulting,2026-02-18,2026-06-18,Active,3252,247555.34,324017.53
P3036,C1017,Advisory Project 36,Technology Consulting,2025-09-08,2025-10-08,Completed,2866,119300.79,328946.82
P3037,C1012,Advisory Project 37,Operations Consulting,2025-05-21,2025-08-19,At Risk,1387,108325.7,171882.04
P3038,C1046,Advisory Project 38,Technology Consulting,2025-10-01,2026-01-29,Completed,1946,157894.27,257335.61
P3039,C1032,Advisory Project 39,Strategy Consulting,2026-02-20,2026-12-17,At Risk,1049,62261.4,99493.01
P3040,C1015,Advisory Project 40,Strategy Consulting,2025-02-08,2025-06-08,Completed,1368,89347.7,133752.79
P3041,C1016,Advisory Project 41,Technology Consulting,2025-01-29,2025-04-29,Completed,3037,222431.37,241768.5
P3042,C1022,Advisory Project 42,Risk & Advisory,2026-04-22,2026-08-20,Completed,1500,65612.9,197850.95
P3043,C1028,Advisory Project 43,Operations Consulting,2025-11-14,2026-03-14,Active,840,50507.78,116672.54
P3044,C1020,Advisory Project 44,Strategy Consulting,2025-09-02,2026-03-01,Active,1169,64216.85,119836.11
P3045,C1033,Advisory Project 45,Risk & Advisory,2025-09-29,2025-11-28,Completed,1743,73761.49,149219.08
P3046,C1010,Advisory Project 46,Technology Consulting,2026-03-16,2026-09-12,Active,4758,253966.44,436208.38
P3047,C1040,Advisory Project 47,Risk & Advisory,2025-08-27,2025-12-25,On Hold,4129,158589.17,671827.54
P3048,C1032,Advisory Project 48,Data & Analytics,2026-01-12,2026-11-08,At Risk,4306,156267.3,419423.71
P3049,C1050,Advisory Project 49,Strategy Consulting,2025-09-23,2025-12-22,Completed,1977,82556.19,292731.17
P3050,C1033,Advisory Project 50,Technology Consulting,2025-12-25,2026-04-24,Active,4408,366550.57,558783.01
P3051,C1002,Advisory Project 51,Operations Consulting,2025-12-06,2026-08-03,Active,3751,234349.26,368042.18
P3052,C1033,Advisory Project 52,Technology Consulting,2026-01-24,2026-03-25,Active,2749,228967.26,237348.86
