Timesheet_ID,Employee_ID,Project_ID,Date,Billable_Hours,Non_Billable_Hours
T400001,E2045,P3042,2025-07-22,8.6,1.6
T400002,E2107,P3079,2025-09-11,9.5,0.6
T400003,E2084,P3012,2025-06-15,7.1,0.3
T400004,E2082,P3084,2026-07-23,3.5,1.3
T400005,E2107,P3017,2026-09-27,3.8,0.2
T400006,E2021,P3104,2026-01-31,0.9,0.1
T400007,E2007,P3090,2026-03-02,2.4,3.6
T400008,E2070,P3078,2026-03-23,9.9,3.1
T400009,E2127,P3025,2026-05-21,10.0,1.4
T400010,E2143,P3026,2025-05-17,0.4,0.4
T400011,E2148,P3047,2026-02-10,2.8,0.9
T400012,E2143,P3025,2026-07-23,9.3,1.2
T400013,E2149,P3089,2026-08-02,1.1,0.1
T400014,E2120,P3060,2025-08-19,3.3,1.6
T400015,E2128,P3060,2025-09-01,10.0,1.8
T400016,E2142,P3027,2025-10-13,1.3,0.8
T400017,E2057,P3043,2026-09-25,7.7,1.7
T400018,E2058,P3076,2025-02-23,2.3,1.3
T400019,E2021,P3020,2026-01-27,11.3,1.2
T400020,E2082,P3063,2026-08-01,7.8,0.1
T400021,E2069,P3080,2025-09-27,11.6,0.2
T400022,E2131,P3025,2026-01-24,1.3,3.5
T400023,E2087,P3027,2025-01-13,6.0,2.9
T400024,E2049,P3052,2025-12-09,9.7,0.2
T400025,E2147,P3082,2026-09-28,10.0,0.4
T400026,E2115,P3010,2026-08-12,1.6,4.0
T400027,E2089,P3115,2025-12-05,3.9,0.8
T400028,E2085,P3050,2025-01-24,8.3,2.7
T400029,E2128,P3030,2025-02-04,10.0,2.0
T400030,E2140,P3001,2026-08-09,6.3,0.9
T400031,E2117,P3054,2026-05-01,2.4,0.8
T400032,E2127,P3004,2026-02-26,2.4,2.1
T400033,E2071,P3087,2025-10-17,2.5,0.4
T400034,E2086,P3007,2025-10-17,3.6,0.1
T400035,E2033,P3030,2025-01-19,6.0,0.3
T400036,E2081,P3090,2026-09-20,10.0,0.8
T400037,E2061,P3065,2025-10-19,10.0,1.5
T400038,E2061,P3029,2026-01-13,7.0,2.5
T400039,E2098,P3025,2025-06-03,10.0,2.9
T400040,E2028,P3040,2026-12-16,3.9,0.7
T400041,E2043,P3026,2026-10-05,9.0,0.5
T400042,E2086,P3017,2025-05-08,10.0,0.1
T400043,E2017,P3031,2026-03-09,4.7,1.0
T400044,E2098,P3061,2025-09-27,1.6,1.4
T400045,E2098,P3008,2026-05-30,9.6,2.9
T400046,E2065,P3069,2025-09-15,5.7,1.2
T400047,E2074,P3001,2025-12-08,9.5,1.8
T400048,E2085,P3079,2026-05-17,4.8,1.4
T400049,E2005,P3100,2026-02-21,5.8,2.3
T400050,E2002,P3071,2025-04-10,9.4,4.0
T400051,E2022,P3046,2026-01-29,10.0,0.4
T400052,E2112,P3108,2025-02-22,2.3,0.4
T400053,E2057,P3117,2026-03-04,3.0,2.8
T400054,E2066,P3091,2026-11-09,6.6,1.8
T400055,E2074,P3099,2025-05-29,10.0,1.2
T400056,E2098,P3091,2026-11-06,6.9,0.2
T400057,E2144,P3020,2026-03-27,7.1,1.6
T400058,E2112,P3082,2026-08-18,3.8,0.9
T400059,E2125,P3040,2026-06-18,3.8,4.0
T400060,E2086,P3002,2026-06-16,10.0,4.0
T400061,E2076,P3094,2026-12-24,9.4,0.1
T400062,E2088,P3061,2026-01-01,1.0,2.3
T400063,E2038,P3102,2025-11-20,1.7,0.7
T400064,E2059,P3094,2026-06-04,4.8,2.7
T400065,E2138,P3071,2026-10-28,9.4,0.4
T400066,E2099,P3103,2026-07-17,0.2,1.5
T400067,E2063,P3077,2025-09-03,7.2,1.5
T400068,E2049,P3097,2026-03-25,3.3,0.8
T400069,E2032,P3104,2025-06-03,10.0,0.6
T400070,E2135,P3030,2025-09-03,3.2,0.4
T400071,E2021,P3030,2025-02-12,4.3,0.2
T400072,E2020,P3087,2026-01-28,10.0,0.7
T400073,E2127,P3045,2025-06-12,5.2,0.5
T400074,E2068,P3024,2026-04-11,10.0,1.1
T400075,E2110,P3084,2026-05-27,7.5,0.9
T400076,E2116,P3092,2025-05-27,8.5,0.9
T400077,E2143,P3056,2025-06-05,10.0,4.0
T400078,E2120,P3083,2026-05-30,3.1,0.8
T400079,E2079,P3061,2025-05-26,9.8,1.8
T400080,E2116,P3113,2026-05-27,10.0,0.4
T400081,E2092,P3013,2025-09-26,8.1,0.2
T400082,E2014,P3080,2026-02-15,10.0,1.4
T400083,E2125,P3056,2025-09-01,1.8,1.5
T400084,E2058,P3015,2025-10-23,1.3,0.0
T400085,E2028,P3011,2025-11-10,10.0,0.6
T400086,E2026,P3012,2026-07-23,3.4,1.3
T400087,E2113,P3086,2025-10-07,1.4,0.7
T400088,E2066,P3089,2026-04-22,1.2,0.4
T400089,E2131,P3003,2025-04-29,10.0,1.1
T400090,E2044,P3024,2026-06-18,10.0,0.5
T400091,E2097,P3089,2026-07-17,7.5,0.2
T400092,E2042,P3009,2026-04-19,10.0,1.4
T400093,E2006,P3092,2025-07-31,6.9,3.7
T400094,E2023,P3046,2026-12-29,1.2,1.6
T400095,E2089,P3094,2026-08-11,4.2,0.4
T400096,E2123,P3071,2026-04-11,1.2,1.4
T400097,E2147,P3060,2026-12-17,10.0,0.7
T400098,E2051,P3011,2025-06-15,4.1,3.9
T400099,E2011,P3010,2026-04-25,10.0,0.6
T400100,E2012,P3003,2026-01-18,4.5,0.5
T400101,E2074,P3019,2025-03-02,2.8,2.0
T400102,E2008,P3002,2025-10-06,10.0,0.6
T400103,E2041,P3017,2026-08-11,2.1,1.5
T400104,E2085,P3093,2025-07-28,1.6,3.3
T400105,E2072,P3002,2025-02-06,7.6,1.2
T400106,E2055,P3053,2026-08-28,6.6,0.8
T400107,E2137,P3016,2025-05-14,2.4,0.8
T400108,E2047,P3113,2026-02-16,2.2,2.1
T400109,E2143,P3010,2026-10-10,8.3,1.1
T400110,E2104,P3068,2025-05-28,10.0,1.0
T400111,E2042,P3043,2026-02-01,6.4,2.6
T400112,E2060,P3090,2025-09-09,6.8,0.1
T400113,E2012,P3058,2026-05-18,6.7,1.1
T400114,E2130,P3113,2026-05-22,8.5,0.7
T400115,E2007,P3060,2026-08-14,3.2,2.0
T400116,E2080,P3024,2025-09-01,8.2,1.1
T400117,E2131,P3076,2026-01-02,10.0,0.3
T400118,E2109,P3085,2026-03-26,6.9,0.8
T400119,E2003,P3106,2025-04-30,10.0,2.1
T400120,E2027,P3016,2025-11-05,10.0,0.4
T400121,E2114,P3100,2026-09-26,10.0,1.9
T400122,E2107,P3099,2025-07-31,10.0,0.4
T400123,E2040,P3009,2025-10-11,10.0,1.5
T400124,E2129,P3006,2025-09-11,10.0,0.3
T400125,E2008,P3108,2026-06-14,3.1,1.7
T400126,E2101,P3065,2025-09-20,10.0,0.3
T400127,E2124,P3078,2025-10-04,6.4,1.6
T400128,E2107,P3024,2025-02-10,10.0,1.3
T400129,E2101,P3010,2026-02-27,7.3,3.3
T400130,E2004,P3082,2026-05-24,10.0,0.7
T400131,E2110,P3109,2025-12-30,11.8,1.2
T400132,E2019,P3073,2026-06-27,10.0,0.8
T400133,E2032,P3027,2026-04-06,10.0,2.1
T400134,E2137,P3119,2026-03-29,7.1,1.1
T400135,E2012,P3083,2025-11-11,10.0,0.6
T400136,E2139,P3100,2026-09-22,2.8,0.6
T400137,E2046,P3003,2025-12-26,7.7,1.2
T400138,E2119,P3038,2025-08-22,10.0,3.3
T400139,E2016,P3073,2025-02-12,6.2,1.1
T400140,E2129,P3074,2025-08-16,10.0,4.0
T400141,E2063,P3073,2026-10-08,4.0,1.5
T400142,E2109,P3017,2025-11-29,1.5,1.0
T400143,E2119,P3106,2026-10-31,10.0,1.3
T400144,E2021,P3102,2026-05-07,8.1,0.4
T400145,E2013,P3048,2025-07-25,2.6,1.2
T400146,E2004,P3049,2025-03-30,4.8,0.2
T400147,E2102,P3043,2025-04-09,1.1,3.8
T400148,E2059,P3084,2025-02-06,3.0,0.7
T400149,E2128,P3007,2026-01-09,7.3,1.3
T400150,E2027,P3068,2026-01-26,10.0,0.8
T400151,E2069,P3074,2026-03-10,4.4,0.3
T400152,E2025,P3021,2026-05-01,3.4,3.9
T400153,E2131,P3078,2026-01-27,3.8,0.7
T400154,E2097,P3025,2026-12-12,4.2,1.7
T400155,E2025,P3081,2025-12-22,8.1,1.9
T400156,E2148,P3061,2025-02-24,10.0,1.5
T400157,E2126,P3028,2026-09-09,1.1,1.6
T400158,E2133,P3078,2026-08-09,3.4,0.1
T400159,E2009,P3052,2025-11-10,1.1,0.3
T400160,E2116,P3119,2025-04-14,3.0,4.0
T400161,E2134,P3013,2025-01-16,5.9,3.1
T400162,E2060,P3034,2026-02-13,1.7,1.1
T400163,E2121,P3105,2025-01-29,10.0,0.1
T400164,E2139,P3067,2025-12-22,2.5,4.0
T400165,E2108,P3004,2026-01-14,9.8,1.7
T400166,E2108,P3044,2026-11-26,11.3,0.5
